element	ion_stage	wavelength_vacuum_nm	wavelength_kind	intensity	gA_s-1	Ei_eV	Ek_eV	g_i	g_k	tp_ref	line_ref	quantitative_ready
Se	1	185.520000000	observed_vacuum	300							L3316	0
Se	1	185.880000000	observed_vacuum	250							L3316	0
Se	1	189.860000000	observed_vacuum	400							L3316	0
Se	1	191.380000000	observed_vacuum	350							L3316	0
Se	1	191.920000000	observed_vacuum	300							L3316	0
Se	1	196.090000000	observed_vacuum	500							L3316	0
Se	1	199.510000000	observed_vacuum	150							L3316	0
Se	1	204.045517249	observed_air	500							L3316	0
Se	1	207.546172809	observed_air	500							L3316	0
Se	1	216.487945238	observed_air	500							L3316	0
Se	1	233.351555538	observed_air	150							L3316	0
Se	1	241.423369885	observed_air	600							L3316	0
Se	1	254.876482103	observed_air	300							L3316	0
Se	1	432.991716539	observed_air	120							L3316	0
Se	1	433.151758645	observed_air	100							L3316	0
Se	1	473.212334709	observed_air	500							L3316	0
Se	1	474.032551930	observed_air	400							L3316	0
Se	1	474.352636706	observed_air	300							L3316	0
Se	1	536.699211348	observed_air	100							L3316	0
Se	1	537.139328731	observed_air	120							L3316	0
Se	1	537.559440782	observed_air	110							L3316	0
Se	1	632.734915986	observed_air	200							L3316	0
Se	1	683.318511511	observed_air	150							L3316	0
Se	1	699.261802690	observed_air	120							L1791	0
Se	1	699.372032367	observed_air	100							L1791	0
Se	1	701.274244528	observed_air	200							L1791	0
Se	1	701.580927104	observed_air	150							L1791	0
Se	1	706.401225118	observed_air	300							L1791	0
Se	1	757.718556896	observed_air	200							L3316	0
Se	1	758.548780850	observed_air	250							L3316	0
Se	1	759.429018301	observed_air	150							L3316	0
Se	1	760.889412266	observed_air	120							L3316	0
Se	1	800.320055159	observed_air	300							L3316	0
Se	1	803.861011432	observed_air	200							L3316	0
Se	1	806.311673306	observed_air	120							L3316	0
Se	1	806.751792178	observed_air	120							L3316	0
Se	1	808.332219043	observed_air	120							L3316	0
Se	1	809.542545958	observed_air	150							L3316	0
Se	1	809.692586485	observed_air	150							L3316	0
Se	1	815.154061770	observed_air	180							L3316	0
Se	1	815.424134729	observed_air	150							L3316	0
Se	1	815.994288754	observed_air	200							L3316	0
Se	1	816.534434674	observed_air	180							L3316	0
Se	1	818.514969729	observed_air	150							L3316	0
Se	1	818.725026479	observed_air	100							L3316	0
Se	1	819.685285910	observed_air	120							L3316	0
Se	1	844.278932141	observed_air	150							L2647	0
Se	1	845.270200095	observed_air	150							L2647	0
Se	1	874.473096371	observed_air	150							L2647	0
Se	1	892.130872980	observed_air	300							L2647	0
Se	1	897.215248626	observed_air	100							L2647	0
Se	1	900.444122302	observed_air	200							L2647	0
Se	1	904.109114040	observed_air	200							L2647	0
Se	1	908.563319418	observed_air	80							L2647	0
Se	1	909.128472363	observed_air	120							L2647	0
Se	1	914.333881150	observed_air	80							L2647	0
Se	1	918.439992505	observed_air	60							L2647	0
Se	1	927.366408762	observed_air	60							L2647	0
Se	1	943.508779098	observed_air	100							L2647	0
Se	2	303.958428324	observed_air	220							L3276	0
Se	2	304.218493316	observed_air	220							L3276	0
Se	2	407.134932102	observed_air	285							L3276	0
Se	2	417.647685922	observed_air	360							L3276	0
Se	2	418.207832836	observed_air	450							L3276	0
Se	2	438.413143573	observed_air	285							L3276	0
Se	2	444.724806715	observed_air	285							L3276	0
Se	2	445.044891108	observed_air	220							L3276	0
Se	2	446.885376455	observed_air	285							L3276	0
Se	2	484.195245351	observed_air	285							L3276	0
Se	2	484.635362076	observed_air	360							L3276	0
Se	2	522.895532205	observed_air	450							L3276	0
Se	2	530.687608471	observed_air	360							L3276	0
Se	2	552.393399880	observed_air	285							L3276	0
Se	2	556.844588826	observed_air	285							L3276	0
Se	2	586.792598499	observed_air	285							L3276	0
Se	2	605.767681839	observed_air	450							L3276	0
Se	2	644.598101636	observed_air	360							L3276	0
Se	2	649.229345778	observed_air	285							L3276	0
Se	2	653.680541808	observed_air	285							L3276	0
Th	1	234.608939098	ritz_air	69		0.0000000000	5.2847175900	5	3		L3552	0
Th	1	244.017294093	ritz_air	210		0.0000000000	5.0809594900	5	7		L3552	0
Th	1	248.416555477	ritz_air	69		0.0000000000	4.9909796900	5	7		L3552	0
Th	1	249.400014477	ritz_air	140		0.0000000000	4.9712987600	5	5		L3552	0
Th	1	249.587774065	ritz_air	13		0.3171586159	5.2847175900	1	3		L3552	0
Th	1	250.089298581	ritz_air	13		0.0000000000	4.9575971100	5	7		L3552	0
Th	1	252.451793170	ritz_air	34		0.0000000000	4.9112029200	5	7		L3552	0
