element	ion_stage	wavelength_vacuum_nm	gA_s-1	Ei_eV	Ek_eV	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	kurucz_ref	nist_match	nist_gA
Se	1	196.090200000	1021481354.17	0.0000000000	6.3228134356	4p4 3P		2	5s  3S		1	5	3	CB	1	0
Se	1	204.050618185	1244357962.17	0.2466653209	6.3228145514	4p4 3P		1	5s  3S		1	3	3	CB	1	0
Se	1	206.344745015	473405206.435	0.3142193507	6.3228145514	4p4 3P		0	5s  3S		1	1	3	CB	0	0
Se	1	207.545572694	56259032.0413	0.0000000000	5.9738301558	4p4 3P		2	5s  5S		2	5	5	CB	1	0
Se	1	216.484444521	142416885.585	0.2466653209	5.9738301558	4p4 3P		1	5s  5S		2	3	5	MULT	1	0
Se	1	892.125171438	1635042628.49	5.9738301558	7.3635925814	5s  5S		2	5p  5P		3	5	7	CB	1	0
Se	1	900.436920353	82314064.5727	5.9738301558	7.3507639365	5s  5S		2	5p  5P		2	5	5	GUES	0	0
Se	1	904.102712308	81647910.9368	5.9738301558	7.3451809281	5s  5S		2	5p  5P		1	5	3	GUES	0	0
Th	1	261.240695494	106003431.131	0.0000000000	4.7459756700	6d2.7s2	3F	2	*	*	1	5	3	MC	1	0
Th	1	269.185528388	79487059.0847	0.0000000000	4.6059013200	6d2.7s2	3F	2	*	*	2	5	5	MC	1	0
Th	1	286.930260037	67428628.071	0.0000000000	4.3210569000	6d2.7s2	3F	2	*	*	2	5	5	MC	1	0
Th	1	291.722371741	137232501.02	0.3171586159	4.5672337000	6d2.7s2	3P	0	*	*	1	1	3	MC	1	0
Th	1	294.712309876	95851628.0256	0.3557427977	4.5626996900	6d2.7s2	3F	3	*	*	4	7	9	MC	1	0
Th	1	297.068873681	64073932.9272	0.0000000000	4.1735842800	6d2.7s2	3F	2	*	*	1	5	3	MC	1	0
Th	1	298.097988456	109819037.47	0.4572521355	4.6164280800	6d2.7s2		2	*	*	2	5	5	MC	1	0
Th	1	298.854380597	107269532.666	0.4572521355	4.6059013200	6d2.7s2		2	*	*	2	5	5	MC	1	0
Th	1	303.136989129	195037034.609	0.6151672932	4.7052058700	6d2.7s2	3F	4	*	*	4	9	9	MC	1	0
Th	1	303.207859827	289010874.549	0.4572521355	4.5463347300	6d2.7s2		2	*	*	2	5	5	MC	1	0
Th	1	306.132855145	94313696.5872	0.0000000000	4.0500128000	6d2.7s2	3F	2	*	*	1	5	3	MC	1	0
Th	1	306.979925248	238327679.184	0.0000000000	4.0388373400	6d2.7s2	3F	2	6d3.7p	5G*	2	5	5	MC	1	0
Th	1	310.586834928	83758321.4191	0.0000000000	3.9919334700	6d2.7s2	3F	2	*	*	3	5	7	MC	1	0
Th	1	312.178556927	97406469.8242	0.3171586159	4.2887382000	6d2.7s2	3P	0	*	*	1	1	3	MC	1	0
Th	1	313.712467827	368409050.101	0.6151672932	4.5673276600	6d2.7s2	3F	4	*	*	5	9	11	MC	1	0
Th	1	313.773798265	45410944.3857	0.0000000000	3.9513878700	6d2.7s2	3F	2	*	*	2	5	5	MC	1	0
Th	1	314.118167962	202398686.051	0.3557427977	4.3027987400	6d2.7s2	3F	3	*	*	3	7	7	MC	1	0
Th	1	314.654794103	44434982.505	0.0000000000	3.9403244600	6d2.7s2	3F	2	*	*	3	5	7	MC	1	0
Th	1	317.219290610	45779826.3301	0.0000000000	3.9084696900	6d2.7s2	3F	2	*	*	3	5	7	MC	1	0
Th	1	317.434463905	102349375.614	0.3557427977	4.2615631200	6d2.7s2	3F	3	*	*	2	7	5	MC	1	0
Th	1	317.916254506	156231291.97	0.3557427977	4.2556439900	6d2.7s2	3F	3	*	*	2	7	5	MC	1	0
Th	1	318.258955024	181063935.825	0.6151672932	4.5108690800	6d2.7s2	3F	4	*	*	4	9	9	MC	1	0
Th	1	319.350837811	176139602.847	0.6151672932	4.4975494100	6d2.7s2	3F	4	*	*	5	9	11	MC	1	0
Th	1	319.661270255	43153219.9599	0.0000000000	3.8786118200	6d2.7s2	3F	2	*	*	3	5	7	MC	1	0
Th	1	321.212186394	93284424.1902	0.3557427977	4.2156274300	6d2.7s2	3F	3	*	*	4	7	9	MC	1	0
Th	1	321.500293282	84923954.5072	0.3171586159	4.1735842800	6d2.7s2	3P	0	*	*	1	1	3	MC	1	0
Th	1	321.530847013	167088972.385	0.6151672932	4.4712265000	6d2.7s2	3F	4	*	*	4	9	9	MC	1	0
Th	1	323.305783351	177486745.344	0.3557427977	4.1906323800	6d2.7s2	3F	3	*	*	4	7	9	MC	1	0
Th	1	323.323903941	28715559.7083	0.0000000000	3.8346746700	6d2.7s2	3F	2	*	*	1	5	3	MC	1	0
Th	1	323.592977102	111018339.289	0.4572521355	4.2887382000	6d2.7s2		2	*	*	1	5	3	MC	1	0
Th	1	323.986873904	87365109.5056	0.3557427977	4.1825706200	6d2.7s2	3F	3	*	*	2	7	5	MC	1	0
Th	1	324.157981265	86871897.1114	0.3557427977	4.1805506200	6d2.7s2	3F	3	*	*	2	7	5	MC	1	0
Th	1	324.538472703	76711472.4382	0.0000000000	3.8203235800	6d2.7s2	3F	2	*	*	2	5	5	MC	1	0
Th	1	325.079371835	68772369.2912	0.0000000000	3.8139669500	6d2.7s2	3F	2	*	*	3	5	7	MC	1	0
