wavelength,intensity
1.900000000000000000e+02,1.199749721472554143e+01
1.900333333333333314e+02,4.289117547016635967e+01
1.900666666666666629e+02,4.697254750741050344e+01
1.900999999999999943e+02,2.419131100633682507e+01
1.901333333333333258e+02,5.502840169693829608e+01
1.901666666666666572e+02,4.113734818018560446e+01
1.901999999999999886e+02,3.714932026435361934e+01
1.902333333333333201e+02,5.182857380423349980e+01
1.902666666666666799e+02,4.275932140600729525e+01
1.903000000000000114e+02,6.552103952565803979e+01
1.903333333333333428e+02,4.111703426431893149e+01
1.903666666666666742e+02,5.930025835791958855e+01
1.904000000000000057e+02,3.364315236172741663e+01
1.904333333333333371e+02,4.324067415002498649e+01
1.904666666666666686e+02,1.563405428977871026e+01
1.905000000000000000e+02,2.475146905073084724e+01
1.905333333333333314e+02,5.836116217726857514e+01
1.905666666666666629e+02,7.436660504446626874e+01
1.905999999999999943e+02,5.839068285875991648e+01
1.906333333333333258e+02,7.582705517573350562e+01
1.906666666666666572e+02,2.790459539732172090e+01
1.906999999999999886e+02,4.170413784160096071e+01
1.907333333333333201e+02,5.849401535252017226e+01
1.907666666666666799e+02,5.640944253673389142e+01
1.908000000000000114e+02,3.134804490195073612e+01
1.908333333333333428e+02,4.621936251197043788e+01
1.908666666666666742e+02,5.508579796174739585e+01
1.909000000000000057e+02,1.773542934503898394e+01
1.909333333333333371e+02,5.921993119794056781e+01
1.909666666666666686e+02,2.359874602715099812e+01
1.910000000000000000e+02,2.441017943962034664e+01
1.910333333333333314e+02,7.256151927662263290e+01
1.910666666666666629e+02,4.569233398603731899e+01
1.910999999999999943e+02,5.964852862146776147e+01
1.911333333333333258e+02,4.237908945073020561e+01
1.911666666666666572e+02,5.525553100464157552e+01
1.911999999999999886e+02,6.106331431492331774e+01
1.912333333333333201e+02,9.457381507432187107e+01
1.912666666666666799e+02,3.103934564976474775e+01
1.913000000000000114e+02,3.718641020453038237e+01
1.913333333333333428e+02,4.081602504201426740e+01
1.913666666666666742e+02,7.073996176425355031e+01
1.914000000000000057e+02,5.903388029825916306e+01
1.914333333333333371e+02,2.642476759491172800e+01
1.914666666666666686e+02,2.536549935504515219e+01
1.915000000000000000e+02,2.497817161453523838e+01
1.915333333333333314e+02,3.318211091347552610e+01
1.915666666666666629e+02,3.872587856435811915e+01
1.915999999999999943e+02,7.222469928154455943e+01
1.916333333333333258e+02,7.271614105359307700e+01
1.916666666666666572e+02,2.973826806310399107e+01
1.916999999999999886e+02,4.384666600186242391e+01
1.917333333333333201e+02,4.705079511456428065e+01
1.917666666666666799e+02,4.669180604686225422e+01
1.918000000000000114e+02,2.165250121772233172e+01
1.918333333333333428e+02,2.992750148360038764e+01
1.918666666666666742e+02,2.140526214890753565e+01
1.919000000000000057e+02,3.813291528007930253e+01
1.919333333333333371e+02,5.803371429573128637e+01
1.919666666666666686e+02,2.518162856503685987e+00
1.920000000000000000e+02,7.627472544635598695e+01
1.920333333333333314e+02,4.526883485329961587e+01
1.920666666666666629e+02,4.443938441108065973e+01
1.920999999999999943e+02,5.971616489882717360e+01
1.921333333333333258e+02,4.367036402355388702e+01
1.921666666666666572e+02,8.495512160964526061e+01
1.921999999999999886e+02,6.162194948935838568e+01
1.922333333333333201e+02,7.741902322578459916e+01
1.922666666666666799e+02,6.749360608003698303e+01
1.923000000000000114e+02,6.178226031611399804e+01
1.923333333333333428e+02,4.074464954698731844e+01
1.923666666666666742e+02,5.387455861633567622e+01
1.924000000000000057e+02,4.119036504417467626e+01
1.924333333333333371e+02,1.072849170002189467e+01
1.924666666666666686e+02,5.407894196029043599e+01
1.925000000000000000e+02,2.568472434270953642e+01
1.925333333333333314e+02,4.061550355447869265e+01
1.925666666666666629e+02,7.414054198450229194e+01
1.925999999999999943e+02,2.668004476456734508e+01
1.926333333333333258e+02,3.481557997883572142e+01
1.926666666666666572e+02,8.105123550908569996e+01
1.926999999999999886e+02,4.035505765883137741e+01
1.927333333333333201e+02,5.155422518912639163e+01
1.927666666666666799e+02,4.693896932947061629e+01
1.928000000000000114e+02,7.081769359786538587e+01
1.928333333333333428e+02,4.512537300458525635e+01
1.928666666666666742e+02,7.592881867230880744e+01
1.929000000000000057e+02,3.300793791724816373e+01
1.929333333333333371e+02,3.595206026954102185e+01
1.929666666666666686e+02,5.047821060317731678e+01
1.930000000000000000e+02,9.190087080640823558e+01
1.930333333333333314e+02,3.593685555317016878e+01
1.930666666666666629e+02,3.669076674291388684e+01
1.930999999999999943e+02,6.021655798732663811e+01
1.931333333333333258e+02,9.951668150153993508e+01
1.931666666666666572e+02,7.621915849565820622e+01
1.931999999999999886e+02,7.685598376557845768e+01
1.932333333333333201e+02,5.016098610096767629e+01
1.932666666666666799e+02,1.603783888306674754e+01
1.933000000000000114e+02,6.548052098713547764e+01
1.933333333333333428e+02,3.701343704322832195e+01
1.933666666666666742e+02,2.726214738874402244e+01
1.934000000000000057e+02,5.803200076538264085e+01
1.934333333333333371e+02,4.711283861723527622e+01
1.934666666666666686e+02,5.497762674392308213e+01
1.935000000000000000e+02,3.734814138554476415e+01
1.935333333333333314e+02,5.701391873109363218e+01
1.935666666666666629e+02,2.824876920441466410e+01
1.935999999999999943e+02,8.540958997524731444e+01
1.936333333333333258e+02,4.116347709932248478e+01
1.936666666666666572e+02,7.199166504428160351e+01
1.936999999999999886e+02,3.200670105074448912e+01
1.937333333333333201e+02,2.909731646904260316e+01
1.937666666666666799e+02,2.942525078962044560e+01
1.938000000000000114e+02,6.764697767296372888e+01
1.938333333333333428e+02,5.035387847902566705e+01
1.938666666666666742e+02,4.623413833878364443e+01
1.939000000000000057e+02,2.518434906154276831e+01
1.939333333333333371e+02,2.870070704952273388e+01
1.939666666666666686e+02,9.123298383240134513e+01
1.940000000000000000e+02,4.030372799703239650e+01
1.940333333333333314e+02,6.442212059812464986e+01
1.940666666666666629e+02,3.082258039995972254e+01
1.940999999999999943e+02,2.500390548307914429e+01
1.941333333333333258e+02,4.037532665357421990e+01
1.941666666666666572e+02,7.597929885110406190e+01
1.941999999999999886e+02,7.415398790833808107e+01
1.942333333333333201e+02,3.552016767399530295e+01
1.942666666666666799e+02,4.972666469669813694e+01
1.943000000000000114e+02,1.448067818366499537e+01
1.943333333333333428e+02,9.224100458595103191e+00
1.943666666666666742e+02,2.124599616683291714e+01
1.944000000000000057e+02,5.535140972092457901e+01
1.944333333333333371e+02,-9.750689818414791432e+00
1.944666666666666686e+02,5.533444075482037050e+01
1.945000000000000000e+02,4.382896056607341251e+01
1.945333333333333314e+02,8.296863672128540657e+01
1.945666666666666629e+02,2.562653852961496526e+01
1.945999999999999943e+02,1.888223054553201052e+00
1.946333333333333258e+02,5.835415793084320057e+01
1.946666666666666572e+02,2.757642950624718381e+01
1.946999999999999886e+02,6.299110685177694791e+01
1.947333333333333201e+02,3.966229921954802506e+01
1.947666666666666799e+02,1.950644363168443718e+01
1.948000000000000114e+02,1.440243718275478813e+01
1.948333333333333428e+02,6.266446743330268987e+01
1.948666666666666742e+02,5.982814468148793452e+01
1.949000000000000057e+02,4.611633414484527549e+01
