file,segment,ok,error,exact,relres,relres_full,delta_px,stretch_ppm,c0,c1,c2,c3,n_ref,windows_used,windows_total,on_model_lo,on_model_hi,n_native,pitch_start,pitch_end,max_window_relres,seconds
"1036-Test #1036 10 42, Mar 25 2024.03.25.10.42.csv",UV,1,,1,5.734649674953924e-11,0.0009461591603417728,0.4380931175814798,126.21441359004386,0.01460310391938266,1.1200163158064363e-05,-5.474830287584358e-10,-6.205058120770924e-14,919.5663461700353,13,13,195.4999999999994,358.9333333334137,2091,0.09599423416128161,0.078695451692397,0.001118486859098817,23.486716747283936
"1036-Test #1036 10 42, Mar 25 2024.03.25.10.42.csv",VIS,1,,1,5.884348467681027e-11,9.697986918671541e-05,1.716224308084344,61.60189450422592,0.0572074769361448,7.958632684859773e-06,-4.4116783375482244e-10,-4.0002128796997843e-14,935.662048746658,13,13,368.0000000000832,616.6000000001025,1986,0.14168222136987652,0.11292126294438276,0.000309829185424197,23.486751079559326
"1036-Test #1036 10 42, Mar 25 2024.03.25.10.42.csv",NIR,1,,1,6.755823753223703e-11,0.00037941024674691674,2.023982069844769,303.19287575896567,0.06746606899482563,5.442529461976186e-05,-3.442784644315018e-09,-2.7171241291495496e-13,866.5810912660887,13,13,623.0333333334336,943.9999999998047,1921,0.19835203550803726,0.15628102874370597,0.0015039248527089805,23.486764907836914
"1022-Test #1022 10 40, Mar 25 2024.03.25.10.40.csv",UV,1,,1,5.863400283146941e-11,0.0011611054760540518,0.43809311758148073,126.21441359013451,0.01460310391938269,1.1200163158072406e-05,-5.474830287500011e-10,-6.205058121590289e-14,919.5663461700353,13,13,195.4999999999994,358.9333333334137,2091,0.09599423416128161,0.07869545169245384,0.001088648305356175,23.645802974700928
"1022-Test #1022 10 40, Mar 25 2024.03.25.10.40.csv",VIS,1,,1,5.930431813759036e-11,1.717126433495051e-05,1.7162243080845359,61.60189450426524,0.05720747693615119,7.958632684864852e-06,-4.4116783376504453e-10,-4.000212882014421e-14,935.662048746658,13,13,368.0000000000832,616.6000000001025,1986,0.14168222136987652,0.11292126294449645,0.00020736232446512203,23.645837783813477
"1022-Test #1022 10 40, Mar 25 2024.03.25.10.40.csv",NIR,1,,1,6.562286440407543e-11,0.0002231961017690816,2.0239820698446525,303.1928757591933,0.06746606899482174,5.442529461980273e-05,-3.4427846443468684e-09,-2.717124129239441e-13,866.5810912660887,13,13,623.0333333334336,943.9999999998047,1921,0.19835203550803726,0.15628102874370597,0.0013593540574078245,23.64585304260254
"1028-Test #1028 10 41, Mar 25 2024.03.25.10.41.csv",UV,1,,1,5.937134300438737e-11,0.0006331488052620298,0.43809311758138253,126.214413590089,0.014603103919379417,1.1200163158068368e-05,-5.474830287480623e-10,-6.205058120757196e-14,919.5663461700353,13,13,195.4999999999994,358.9333333334137,2091,0.09599423416128161,0.07869545169245384,0.0010888763694871324,24.462342739105225
"1028-Test #1028 10 41, Mar 25 2024.03.25.10.41.csv",VIS,1,,1,5.95696942580106e-11,4.456841878645476e-05,1.7162243080844088,61.60189450426454,0.05720747693614696,7.958632684864764e-06,-4.4116783376109263e-10,-4.00021288046909e-14,935.662048746658,13,13,368.0000000000832,616.6000000001025,1986,0.14168222136981967,0.11292126294449645,0.00021414512073372467,24.46237826347351
"1028-Test #1028 10 41, Mar 25 2024.03.25.10.41.csv",NIR,1,,1,6.749249080199561e-11,0.0003611900617323903,2.0239820698445574,303.19287575922675,0.06746606899481858,5.442529461980872e-05,-3.4427846443098326e-09,-2.7171241299207744e-13,866.5810912660887,13,13,623.0333333334336,943.9999999998047,1921,0.19835203550803726,0.15628102874370597,0.0013564290811943144,24.462393045425415
"1024-Test #1024 10 40, Mar 25 2024.03.25.10.40.csv",UV,1,,1,5.8045962162862555e-11,0.0010552240576199193,0.4380931175813521,126.214413590053,0.014603103919378404,1.1200163158065174e-05,-5.474830287433774e-10,-6.20505812060997e-14,919.5663461700353,13,13,195.4999999999994,358.9333333334137,2091,0.09599423416128161,0.07869545169245384,0.0013796825361205405,28.158862590789795
